x,y,z
-0.226969,0.31381,0.476529
0.267268,0.0130603,0.757669
-0.0320136,0.393061,-0.364115
0.186906,0.14203,0.345101
-0.0231052,0.0551706,0.661203
-0.371396,-0.227731,0.692819
0.247068,-0.0673716,-0.440376
0.225315,0.0221962,-0.733435
0.174631,-0.171111,-0.123486
-0.385024,-0.188007,0.418779
0.0890774,-0.13269,-0.350056
-0.173307,-0.141995,-0.367074
-0.488592,-0.142932,0.62847
0.398017,0.580432,-0.100272
0.00850405,0.078101,0.678239
0.139602,-0.0950186,0.404504
0.00964926,-0.237633,0.184264
0.751879,0.0548713,0.415846
0.00668068,0.576036,0.536426
0.394114,-0.429583,0.568462
-0.00974782,0.234589,0.0611667
-0.032655,-0.315666,-0.483831
-0.841877,0.368811,0.0700811
-0.15501,-0.0757665,0.335903
0.248423,0.465151,0.521963
0.0646229,-0.167603,0.283422
0.655741,0.094296,0.431444
0.00502432,-0.171212,0.311735
0.177435,-0.298752,0.650387
0.15301,0.703136,-0.0853315
0.277196,-0.0593385,0.516746
0.0732513,0.108606,0.592964
-0.109151,-0.287294,1.02746
0.630496,0.529556,0.299229
-0.351579,0.294132,0.0888052
-0.228175,0.0822872,-0.616007
-0.219611,-0.257506,-0.473626
0.170132,-0.441398,0.621271
-0.0999387,0.171366,-0.244787
0.526352,-0.215602,0.81332
0.350951,0.0946577,-0.0764114
0.219597,-0.748303,0.262325
0.134652,-0.0583614,0.882765
0.0938562,-0.320075,0.759148
0.258659,-0.321133,0.850216
-0.043415,-0.034571,-0.110065
0.525234,-0.360295,0.23133
0.172826,-0.579401,-0.394634
-0.053328,0.205528,0.366272
-0.145649,0.0620211,0.0582245
-0.192093,-0.445529,0.620452
0.546082,-0.259759,0.665258
0.47746,0.195079,-0.577513
0.22598,0.131041,-0.0226299
0.172356,0.0383875,0.859826
-0.909097,0.188962,-0.0643484
0.568052,0.44783,0.453139
0.270757,0.757009,0.0489874
-0.09848,0.765208,0.317709
-0.173964,0.716851,0.22271
-0.824286,-0.0253313,-0.0746792
-0.0518767,0.236519,-0.429674
-0.143636,-0.245999,-0.651684
0.530985,0.170787,-0.51853
0.223145,-0.0534151,-0.494658
-0.168986,0.163727,-0.096434
0.0598788,-0.330885,-0.155437
0.0942506,-0.028623,0.239182
-0.291925,-0.0262187,0.796022
0.283478,0.255437,0.34513
-0.112803,-0.538488,-0.20309
-0.0628044,-0.408545,0.271093
0.178655,0.799108,0.513044
-0.0294126,0.112334,0.402754
-0.584361,-0.303424,0.203203
0.0266557,0.0748051,-0.094428
0.376148,0.283395,0.15669
0.265364,-0.576581,0.803434
0.107412,0.200598,0.29123
-0.616847,-0.110667,-0.363324
-0.136787,-0.565506,-0.500421
0.11747,-0.521175,0.677469
0.355807,0.419628,-0.519973
0.33777,0.305029,0.622039
0.157387,0.159823,0.258434
-0.334659,0.14943,-0.307626
0.181087,-0.608633,-0.249723
0.160567,-0.173573,0.455729
-0.718379,0.258805,0.55183
-0.278977,-0.045443,0.578849
0.226565,-0.0431195,-0.0769508
-0.125419,-0.175824,-0.219762
0.477764,0.168745,-0.63865
0.103399,-0.0619644,-0.201535
-0.0708178,0.300286,0.360574
0.204594,-0.413803,0.703124
-0.558572,-0.331733,0.306532
0.231495,-0.0488253,0.941941
-0.408566,-0.274385,0.66885
0.182606,0.0609866,-0.571672
-0.225903,-0.711042,-0.200095
-0.0502579,0.150635,0.700676
0.217241,0.588747,0.079955
0.177853,-0.575989,0.219373
0.455506,0.401065,0.492427
-0.175146,-0.170728,0.170861
0.056247,0.0816233,0.0317817
-0.0443022,0.0283579,1.08474
0.0649412,-0.10809,1.03657
-0.151953,0.374305,0.668222
-0.315164,-0.308689,-0.428015
-0.0843367,0.453957,-0.0804679
-0.454371,-0.0522998,0.0997665
0.154159,-0.43529,-0.609215
0.496184,0.659736,0.334031
0.6766,0.128128,0.446185
-0.218552,0.583738,-0.312295
0.0316486,0.340329,0.64631
-0.562436,-0.207657,0.799564
0.151184,0.00805903,-0.591121
0.0966545,0.471635,-0.280808
0.285392,0.085182,-0.600626
-0.324165,0.359383,0.717443
0.235728,-0.116118,0.56189
